Participant_#,Age,Bio_sex,Gender,Gender_Update,Gender_Update_6_TEXT,Ethnicity_Eng,Ethnicity,Residence,Country_abortion_policy,Country_genderequalGII,Education,Sexuality,Sexuality_5_TEXT,Relationship_status,Relationship_status_7_TEXT,Relationship_status.0,Children,Children_number,Political_view_2,centercountrypolitics,countrypolitics_2,US_politicalparty,US_politicalparty_5_TEXT,UK_politicalparty,UK_politicalparty_5_TEXT,Mexico_polilticalpar,Mexico_poliparty_English,Mexico_polilticalpar_5_TEXT,India_politicalparty,India_politicalparty_5_TEXT,Religious,Religious_2_English,Religious_2_TEXT,Religious1,Spiritual,Angela_single,Angela_committed,Angela_married,Risky_preg,fetal_abnormality,career,rel_dissolution,no_rel,sheYES_heNO,sheNO_heYES,sheYES_heYES,GRAS_1,GRAS_2,GRAS_3,GRAS_4,GRAS_5,GRAS_6,GRAS_7,GRAS_8,GRAS_9,GRAS_10,GRAS_11,GRAS_12,GRAS_13,GRAS_14,GRAS_15,GRAS_16,GRAS_17,GRAS_18,GRAS_19,GRAS_20,Pronat1,Pronat2,Pronat3,Pronat4,Importance,Pronatal_mean,SOI_1,SOI_2,SOI_3,SOI_attitudes_1,SOI_attitudes_2,SOI_attitudes_3,SOI_thoughts_1,SOI_thoughts_2,SOI_thoughts_3,BAN,BG1,BG2,BG3,BG4,BG5,Abort,Abort_When_Eng,Abort_when,region,Angela1R,Angela2R,Angela3R,Angela4R,Angela5R,Angela6R,Angela7R,Angela8R,Angela9R,Angela10R,Angela11R,Abortion_attitude_SUM,GRAS1R,GRAS2R,GRAS3R,GRAS4R,GRAS5R,GRAS6R,GRAS7R,GRAS_MEAN,SOI_behavior_MEAN,SOI_attitudes1R,SOI_attitudes2R,SOI_attitude_MEAN,SOI_desire_MEAN,SOI,BG_MEAN,Gender_dummy,Religious_dummy
P715,67.0,4.0,,2.0,,White,White,4.0,6.0,0.204,8.0,1.0,,6.0,,49,1.0,3,0.2,0.0,0.0,2.0,,,,,,,,,1.0,,,,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,7.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,3.0,1.0,3.0,4.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,2.8,2.0,2.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,,,US,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,9.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.1,2.0,4.0,4.0,4.0,5.0,3.6666666666666665,3.0,1.0,0.0
P851,30.0,4.0,,2.0,,NA,149000,4.0,6.0,0.204,8.0,1.0,,6.0,,4,1.0,1,0.7,4.0,3.0,1.0,,,,,,,,,1.0,,,,3.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,8.0,7.0,7.0,8.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.8,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,,,US,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,8.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,2.95,3.0,4.0,3.0,3.3333333333333335,3.6666666666666665,3.3333333333333335,3.2,1.0,0.0
P662,24.0,4.0,,2.0,,White,White,4.0,6.0,0.204,4.0,1.0,,1.0,,,2.0,,0.0,0.0,0.0,2.0,,,,,,,,,1.0,,,,4.0,8.0,8.0,7.0,7.0,8.0,7.0,8.0,7.0,7.0,8.0,7.0,3.0,3.0,4.0,2.0,2.0,3.0,1.0,2.0,5.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,3.4,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,4.0,5.0,4.0,5.0,4.0,5.0,2.0,,,US,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,6.0,3.0,3.0,2.0,4.0,4.0,3.0,5.0,2.75,2.6666666666666665,4.0,3.0,3.3333333333333335,2.3333333333333335,2.7777777777777777,4.6,1.0,0.0
P770,33.0,4.0,,2.0,,NA,no answer.,4.0,6.0,0.204,4.0,1.0,,1.0,,,1.0,1,0.4,4.0,1.0,1.0,,,,,,,,,1.0,,,,4.0,7.0,8.0,7.0,7.0,8.0,8.0,7.0,7.0,8.0,7.0,8.0,2.0,4.0,1.0,3.0,5.0,1.0,3.0,1.0,2.0,4.0,1.0,2.0,4.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,2.8,2.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,5.0,4.0,3.0,2.0,1.0,4.0,2.0,,,US,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,6.0,4.0,2.0,5.0,3.0,1.0,5.0,3.0,2.5,2.6666666666666665,4.0,5.0,4.0,2.0,2.888888888888889,2.8,1.0,0.0
P738,30.0,4.0,,2.0,,White,White,4.0,6.0,0.204,8.0,1.0,,6.0,,6 years,1.0,1,0.9,4.0,4.0,1.0,,,,,,,,,1.0,,,,6.0,7.0,7.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.4,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,,,US,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,3.55,2.6666666666666665,3.0,3.0,3.0,2.0,2.5555555555555554,3.0,1.0,0.0
P774,59.0,4.0,,2.0,,NA,Man,4.0,6.0,0.204,4.0,1.0,,1.0,,,2.0,,0.2,4.0,0.0,1.0,,,,,,,,,1.0,,,,4.0,7.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,7.0,8.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.2,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,2.0,,,US,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,2.75,1.0,4.0,4.0,3.6666666666666665,3.0,2.5555555555555554,3.8,1.0,0.0
P720,63.0,4.0,,2.0,,White,White,4.0,6.0,0.204,7.0,1.0,,1.0,,,1.0,3,0.3,0.0,1.0,2.0,,,,,,,,,1.0,,,,5.0,7.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,5.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,5.0,5.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,4.0,2.0,,,US,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,1.0,4.0,5.0,4.0,2.0,2.7,3.6666666666666665,2.0,4.0,3.3333333333333335,2.0,3.0,4.8,1.0,0.0
P761,71.0,4.0,,2.0,,White,White,4.0,6.0,0.204,6.0,1.0,,6.0,,23,2.0,,0.3,1.0,1.0,3.0,,,,,,,,,1.0,,,,4.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,3.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,,,US,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,3.0,3.0,4.0,1.0,1.0,3.55,1.3333333333333333,3.0,3.0,3.0,1.0,1.7777777777777777,3.0,1.0,0.0
P719,70.0,4.0,,2.0,,White,White,4.0,6.0,0.204,7.0,1.0,,1.0,,,2.0,,0.3,0.0,1.0,2.0,,,,,,,,,1.0,,,,3.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,1.0,2.0,2.0,4.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,5.0,5.0,2.0,2.0,4.0,4.0,1.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,,,US,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.95,3.6666666666666665,4.0,4.0,4.0,3.0,3.5555555555555554,3.4,1.0,0.0
P760,73.0,4.0,,2.0,,White,White,4.0,6.0,0.204,8.0,1.0,,9.0,,13 years,1.0,1,0.1,1.0,0.0,3.0,,,,,,,,,1.0,,,,2.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,4.0,5.0,5.0,5.0,2.0,5.0,2.0,2.0,5.0,4.0,2.0,,,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.8,2.0,4.0,3.0,3.6666666666666665,5.0,3.5555555555555554,3.6,1.0,0.0
