Participant_#,Age,Bio_sex,Gender,Gender_Update,Gender_Update_6_TEXT,Ethnicity_Eng,Ethnicity,Residence,Country_abortion_policy,Country_genderequalGII,Education,Sexuality,Sexuality_5_TEXT,Relationship_status,Relationship_status_7_TEXT,Relationship_status.0,Children,Children_number,Political_view_2,centercountrypolitics,countrypolitics_2,US_politicalparty,US_politicalparty_5_TEXT,UK_politicalparty,UK_politicalparty_5_TEXT,Mexico_polilticalpar,Mexico_poliparty_English,Mexico_polilticalpar_5_TEXT,India_politicalparty,India_politicalparty_5_TEXT,Religious,Religious_2_English,Religious_2_TEXT,Religious1,Spiritual,Angela_single,Angela_committed,Angela_married,Risky_preg,fetal_abnormality,career,rel_dissolution,no_rel,sheYES_heNO,sheNO_heYES,sheYES_heYES,GRAS_1,GRAS_2,GRAS_3,GRAS_4,GRAS_5,GRAS_6,GRAS_7,GRAS_8,GRAS_9,GRAS_10,GRAS_11,GRAS_12,GRAS_13,GRAS_14,GRAS_15,GRAS_16,GRAS_17,GRAS_18,GRAS_19,GRAS_20,Pronat1,Pronat2,Pronat3,Pronat4,Importance,Pronatal_mean,SOI_1,SOI_2,SOI_3,SOI_attitudes_1,SOI_attitudes_2,SOI_attitudes_3,SOI_thoughts_1,SOI_thoughts_2,SOI_thoughts_3,BAN,BG1,BG2,BG3,BG4,BG5,Abort,Abort_When_Eng,Abort_when,region,Angela1R,Angela2R,Angela3R,Angela4R,Angela5R,Angela6R,Angela7R,Angela8R,Angela9R,Angela10R,Angela11R,Abortion_attitude_SUM,GRAS1R,GRAS2R,GRAS3R,GRAS4R,GRAS5R,GRAS6R,GRAS7R,GRAS_MEAN,SOI_behavior_MEAN,SOI_attitudes1R,SOI_attitudes2R,SOI_attitude_MEAN,SOI_desire_MEAN,SOI,BG_MEAN,Gender_dummy,Religious_dummy
P681,41.0,4.0,,2.0,,White,White,4.0,6.0,0.204,8.0,1.0,,6.0,,18,1.0,3,0.9,4.0,4.0,1.0,,,,,,,,,2.0,Christian,Christianity,3.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,5.0,1.0,2.0,4.0,5.0,1.0,5.0,2.0,2.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,5.0,1.0,1.0,5.0,4.0,3.0,4.0,7.0,5.0,5.0,5.0,5.0,5.0,2.0,,,US,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,3.8,4.0,5.0,5.0,5.0,3.6666666666666665,4.222222222222222,5.0,1.0,1.0
P698,32.0,4.0,,2.0,,White,White,4.0,6.0,0.204,4.0,1.0,,6.0,,8,2.0,,1.0,4.0,4.0,1.0,,,,,,,,,2.0,Buddhist,Buddhist,3.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,5.0,5.0,3.0,2.0,5.0,5.0,5.0,1.0,5.0,2.0,4.0,4.0,5.0,2.0,3.0,2.0,3.0,3.0,2.6,2.0,1.0,5.0,2.0,3.0,2.0,3.0,1.0,2.0,7.0,1.0,1.0,5.0,5.0,5.0,2.0,,,US,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,5.0,5.0,4.0,5.0,5.0,5.0,2.0,4.1,2.6666666666666665,4.0,3.0,3.0,2.0,2.5555555555555554,3.4,1.0,1.0
P745,50.0,4.0,,2.0,,White,White,4.0,6.0,0.204,8.0,1.0,,6.0,,20,1.0,2,0.7,0.0,3.0,2.0,,,,,,,,,2.0,,,3.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,2.4,3.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,,,US,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,4.0,3.0,3.0,5.0,5.0,4.0,3.0,3.7,2.3333333333333335,2.0,2.0,2.3333333333333335,3.3333333333333335,2.6666666666666665,3.6,1.0,1.0
P767,33.0,4.0,,2.0,,NA,School,4.0,6.0,0.204,1.0,1.0,,1.0,,,2.0,,1.0,4.0,4.0,1.0,,,,,,,,,2.0,,,2.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,4.0,4.0,3.0,4.0,4.0,3.8,5.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0,5.0,1.0,NA,None,US,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.6,5.0,1.0,5.0,2.3333333333333335,5.0,4.111111111111111,5.0,1.0,1.0
P800,69.0,4.0,,2.0,,White,Caucasian,4.0,6.0,0.204,8.0,1.0,,6.0,,43,1.0,2,0.3,4.0,1.0,1.0,,,,,,,,,2.0,Orthodox Christian,Orthodox Christian,3.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,2.0,4.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,3.0,2.4,2.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,5.0,4.0,4.0,4.0,3.0,3.0,2.0,,,US,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,5.0,5.0,4.0,4.0,5.0,3.0,2.0,3.55,2.3333333333333335,4.0,4.0,4.0,2.6666666666666665,3.0,3.6,1.0,1.0
P820,44.0,4.0,,2.0,,Black,Black,4.0,6.0,0.204,4.0,1.0,,1.0,,,2.0,,0.5,4.0,2.0,1.0,,,,,,,,,2.0,Christian,Christian,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,3.2,1.0,1.0,2.0,2.0,3.0,4.0,4.0,2.0,3.0,7.0,3.0,3.0,3.0,3.0,3.0,2.0,,,US,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.6,1.3333333333333333,4.0,3.0,3.6666666666666665,3.0,2.6666666666666665,3.0,1.0,1.0
P842,82.0,4.0,,2.0,,White,American,4.0,6.0,0.204,8.0,2.0,,1.0,,,2.0,,0.7,4.0,3.0,1.0,,,,,,,,,2.0,Roman Catholic,Roman Catholic,4.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,5.0,5.0,4.0,3.0,5.0,3.0,5.0,2.0,,5.0,5.0,1.0,1.0,2.0,1.0,3.0,1.6,1.0,1.0,1.0,3.0,4.0,4.0,2.0,2.0,1.0,7.0,3.0,2.0,2.0,2.0,3.0,2.0,,,US,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.473684210526316,1.0,3.0,2.0,3.0,1.6666666666666667,1.8888888888888888,2.4,1.0,1.0
P650,43.0,4.0,,2.0,,White,White,4.0,6.0,0.204,7.0,1.0,,1.0,,,2.0,,0.3,0.0,1.0,2.0,,,,,,,,,2.0,Catholic,Catholic,3.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,1.0,1.0,3.0,1.0,1.0,4.0,2.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.8,2.0,3.0,4.0,2.0,3.0,3.0,1.0,1.0,1.0,5.0,4.0,3.0,3.0,4.0,4.0,2.0,,,US,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,10.0,5.0,5.0,3.0,5.0,5.0,2.0,4.0,3.35,3.0,4.0,3.0,3.3333333333333335,1.0,2.4444444444444446,3.6,1.0,1.0
P651,56.0,4.0,,2.0,,White,White,4.0,6.0,0.204,8.0,1.0,,6.0,,31,1.0,2,0.7,4.0,3.0,1.0,,,,,,,,,2.0,,,3.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,5.0,5.0,5.0,5.0,1.0,2.0,2.0,5.0,3.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,4.0,2.0,1.0,2.0,1.0,7.0,5.0,4.0,4.0,4.0,5.0,2.0,,,US,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,10.0,5.0,5.0,4.0,5.0,5.0,4.0,2.0,4.0,1.3333333333333333,3.0,2.0,2.3333333333333335,1.3333333333333333,1.6666666666666667,4.4,1.0,1.0
P654,56.0,4.0,,2.0,,White,White,4.0,6.0,0.204,4.0,1.0,,1.0,,,2.0,,0.0,0.0,0.0,2.0,,,,,,,,,2.0,Presbyterian,Presbyterian,3.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,4.0,5.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,2.8,3.0,1.0,3.0,2.0,1.0,4.0,2.0,2.0,2.0,7.0,4.0,4.0,4.0,3.0,3.0,2.0,,,US,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,10.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,3.45,2.3333333333333335,4.0,5.0,4.333333333333333,2.0,2.888888888888889,3.6,1.0,1.0
P673,64.0,4.0,,2.0,,White,White,4.0,6.0,0.204,7.0,1.0,,1.0,,,1.0,2,0.8,4.0,4.0,1.0,,,,,,,,,2.0,Protestant,Protestant,3.0,3.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,5.0,4.0,4.0,5.0,2.0,2.0,2.0,4.0,4.0,5.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,5.0,5.0,4.0,5.0,6.0,5.0,4.0,3.0,4.0,5.0,2.0,,,US,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,10.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,3.8,2.6666666666666665,5.0,4.0,4.666666666666667,4.666666666666667,4.0,4.2,1.0,1.0
P799,53.0,4.0,,2.0,,White,Caucasian,4.0,6.0,0.204,8.0,1.0,,1.0,,,2.0,,0.7,4.0,3.0,1.0,,,,,,,,,2.0,Jewish,Jewish,3.0,2.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,5.0,5.0,2.0,4.0,4.0,2.0,3.0,5.0,4.0,3.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,3.8,1.0,4.0,4.0,2.0,2.0,4.0,2.0,3.0,3.0,7.0,4.0,3.0,3.0,4.0,3.0,2.0,,,US,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,10.0,5.0,5.0,3.0,5.0,5.0,5.0,2.0,4.0,3.0,4.0,4.0,4.0,2.6666666666666665,3.2222222222222223,3.4,1.0,1.0
P778,66.0,4.0,,2.0,,White,Italian,4.0,6.0,0.204,8.0,1.0,,1.0,,,2.0,,1.0,4.0,4.0,1.0,,,,,,,,,2.0,,,3.0,4.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,5.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,6.0,4.0,4.0,4.0,3.0,3.0,2.0,,,US,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,3.5,1.0,4.0,3.0,3.3333333333333335,2.6666666666666665,2.3333333333333335,3.6,1.0,1.0
P841,33.0,4.0,,2.0,,White,American,4.0,6.0,0.204,7.0,1.0,,6.0,,15,1.0,2,0.5,4.0,2.0,1.0,,,,,,,,,2.0,Catholic,Catholic,3.0,3.0,7.0,7.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,2.4,3.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,2.0,,,US,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,9.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.6,2.3333333333333335,4.0,4.0,4.0,3.6666666666666665,3.3333333333333335,4.0,1.0,1.0
P777,41.0,4.0,,2.0,,Latines,Latino,4.0,6.0,0.204,6.0,2.0,,1.0,,,2.0,,0.8,0.0,4.0,,,,,,,,,,2.0,,,4.0,2.0,7.0,8.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.8,5.0,2.0,5.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,2.0,,,US,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,8.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,3.4,4.0,3.0,4.0,3.6666666666666665,3.6666666666666665,3.7777777777777777,4.4,1.0,1.0
P647,46.0,4.0,,2.0,,White,White,4.0,6.0,0.204,7.0,1.0,,1.0,,,2.0,,0.4,1.0,1.0,3.0,,,,,,,,,2.0,Protestant,Protestant,3.0,2.0,7.0,7.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,4.0,1.0,3.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,3.4,2.0,1.0,3.0,4.0,3.0,4.0,4.0,1.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,2.0,,,US,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.6666666666666665,3.0,1.0,1.0
P640,82.0,4.0,,2.0,,White,white caucasian european-american,4.0,6.0,0.204,8.0,1.0,,6.0,,56 years,1.0,2,0.4,0.0,1.0,2.0,,,,,,,,,2.0,Church of England,Anglican,2.0,2.0,7.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,4.0,5.0,1.0,1.0,2.0,1.0,5.0,5.0,5.0,4.0,3.0,4.0,2.0,,,US,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.05,1.3333333333333333,2.0,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,4.2,1.0,1.0
P782,30.0,4.0,,2.0,,Latines,Hispanic,4.0,6.0,0.204,4.0,1.0,,3.0,,13 years,1.0,2,0.5,4.0,2.0,1.0,,,,,,,,,2.0,Christian,Christian,4.0,4.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,7.0,8.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,5.0,3.0,2.0,1.0,4.0,3.0,3.0,3.0,3.0,1.0,2.6,4.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,1.0,5.0,4.0,4.0,4.0,5.0,2.0,,,US,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.2,3.6666666666666665,3.0,3.0,2.6666666666666665,4.0,3.4444444444444446,4.4,1.0,1.0
P775,18.0,4.0,,2.0,,NA,Male,4.0,6.0,0.204,4.0,1.0,,3.0,,10 months,2.0,,0.5,4.0,2.0,1.0,,,,,,,,,2.0,Christian,Christian,2.0,3.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,3.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,2.6,1.0,1.0,1.0,5.0,5.0,2.0,1.0,1.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,,,US,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,2.0,3.4,1.0,1.0,1.0,1.3333333333333333,1.0,1.1111111111111112,5.0,1.0,1.0
P847,38.0,4.0,,2.0,,Black,African American,4.0,6.0,0.204,7.0,1.0,,1.0,,,2.0,,0.5,4.0,2.0,1.0,,,,,,,,,2.0,Christian,Christian,2.0,3.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,4.0,2.8,2.0,2.0,3.0,2.0,2.0,4.0,3.0,4.0,5.0,3.0,5.0,4.0,2.0,4.0,3.0,2.0,,,US,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.65,2.3333333333333335,4.0,4.0,4.0,4.0,3.4444444444444446,3.6,1.0,1.0
P849,35.0,4.0,,2.0,,Black,African American,4.0,6.0,0.204,4.0,1.0,,6.0,,10,1.0,1,0.9,4.0,4.0,1.0,,,,,,,,,2.0,Baptist,Baptist,5.0,1.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.8,2.0,2.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,2.0,,,US,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.95,2.3333333333333335,2.0,2.0,2.0,3.3333333333333335,2.5555555555555554,5.0,1.0,1.0
P754,62.0,4.0,,2.0,,White,White,4.0,6.0,0.204,8.0,1.0,,1.0,,,2.0,,0.2,0.0,0.0,2.0,,,,,,,,,2.0,Jewish,Judaism,5.0,2.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,5.0,5.0,1.0,1.0,5.0,5.0,2.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,,,US,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,4.1,3.6666666666666665,5.0,5.0,5.0,3.0,3.888888888888889,1.8,1.0,1.0
P642,42.0,4.0,,2.0,,White,White,4.0,6.0,0.204,7.0,1.0,,1.0,,,1.0,1,0.1,0.0,0.0,2.0,,,,,,,,,2.0,,,3.0,3.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1.0,2.0,2.0,2.0,1.0,4.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,2.6,5.0,4.0,5.0,1.0,1.0,5.0,4.0,2.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0,2.0,,,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,4.0,5.0,2.0,1.0,2.45,4.666666666666667,5.0,5.0,5.0,3.3333333333333335,4.333333333333333,3.8,1.0,1.0
P644,46.0,4.0,,2.0,,White,White,4.0,6.0,0.204,8.0,1.0,,6.0,,24,1.0,2,0.6,0.0,3.0,5.0,Independent,,,,,,,,2.0,,,2.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,5.0,2.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.2,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,2.0,,,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.65,3.0,3.0,3.0,3.0,4.0,3.3333333333333335,3.8,1.0,1.0
P661,30.0,4.0,,2.0,,White,White,4.0,6.0,0.204,8.0,1.0,,6.0,,6,1.0,1,0.8,0.0,4.0,2.0,,,,,,,,,2.0,Islam,Islam,3.0,3.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,5.0,4.0,2.0,,,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.7,2.0,1.0,1.0,1.0,1.0,1.3333333333333333,4.2,1.0,1.0
P670,80.0,4.0,,2.0,,White,White,4.0,6.0,0.204,5.0,1.0,,6.0,,62 years,1.0,2,0.1,0.0,0.0,2.0,,,,,,,,,2.0,Protestant,Protestant,2.0,3.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1.0,2.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,2.6,2.0,5.0,5.0,5.0,5.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,5.0,5.0,2.0,,,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,5.0,2.0,1.0,1.0,3.1,4.0,1.0,1.0,1.0,1.6666666666666667,2.2222222222222223,3.4,1.0,1.0
P677,40.0,4.0,,2.0,,White,White,4.0,6.0,0.204,7.0,1.0,,6.0,,4 years,1.0,1,0.3,0.0,1.0,2.0,,,,,,,,,2.0,Methodist,Methodist,3.0,3.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,2.0,1.0,3.0,1.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.6,2.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,,,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,5.0,3.0,3.0,4.0,3.2,2.0,4.0,2.0,3.0,2.6666666666666665,2.5555555555555554,4.0,1.0,1.0
P679,44.0,4.0,,2.0,,White,White,4.0,6.0,0.204,3.0,1.0,,6.0,,12 years,1.0,1,0.0,0.0,0.0,2.0,,,,,,,,,2.0,Evangelical,Born again Christain,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1.0,3.0,5.0,1.0,1.0,5.0,5.0,2.0,3.0,5.0,5.0,1.0,1.0,1.0,5.0,1.0,3.0,5.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,2.2,2.0,2.0,2.0,5.0,5.0,1.0,2.0,2.0,1.0,1.0,5.0,5.0,2.0,5.0,1.0,2.0,,,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,5.0,5.0,1.0,1.0,2.85,2.0,1.0,1.0,1.0,1.6666666666666667,1.5555555555555556,3.6,1.0,1.0
P682,64.0,4.0,,2.0,,White,White,4.0,6.0,0.204,6.0,1.0,,6.0,,45 years,1.0,3,0.0,0.0,0.0,2.0,,,,,,,,,2.0,Christian,Christian,2.0,2.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1.0,4.0,1.0,1.0,5.0,3.0,2.0,4.0,5.0,5.0,2.0,1.0,2.0,5.0,2.0,3.0,2.0,1.0,4.0,4.0,4.0,3.0,4.0,3.0,3.6,2.0,1.0,1.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,2.0,,,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,5.0,5.0,1.0,3.0,3.2,1.3333333333333333,1.0,5.0,2.6666666666666665,1.3333333333333333,1.7777777777777777,5.0,1.0,1.0
